"","input_number","input","target_number","target","name","description","namespace"
"94",94,"AT3G02020","94.1","AT3G02020","AK3","aspartate kinase 3 [Source:NCBI gene (formerly Entrezgene);Acc:821287]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"95",95,"AT3G54600","95.1","AT3G54600","DJ1F","Class I glutamine amidotransferase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:824625]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"96",96,"AT3G22740","96.1","AT3G22740","HMT3","homocysteine S-methyltransferase 3 [Source:NCBI gene (formerly Entrezgene);Acc:821845]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"97",97,"AT2G47890","97.1","AT2G47890","AT2G47890","B-box type zinc finger protein with CCT domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:819401]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"98",98,"AT2G14050","98.1","AT2G14050","MCM9","minichromosome maintenance 9 [Source:NCBI gene (formerly Entrezgene);Acc:815890]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"99",99,"AT2G28400","99.1","AT2G28400","AT2G28400","senescence regulator (Protein of unknown function, DUF584) [Source:NCBI gene (formerly Entrezgene);Acc:817388]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"100",100,"AT2G31880","100.1","AT2G31880","SOBIR1","Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:817746]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"101",101,"AT2G05440","101.1","AT2G05440","GRP9","GLYCINE RICH PROTEIN 9 [Source:NCBI gene (formerly Entrezgene);Acc:815093]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"102",102,"AT2G31790","102.1","AT2G31790","AT2G31790","UDP-Glycosyltransferase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:817736]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"103",103,"AT2G23320","103.1","AT2G23320","WRKY15","WRKY DNA-binding protein 15 [Source:NCBI gene (formerly Entrezgene);Acc:816864]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"104",104,"AT2G39130","104.1","AT2G39130","AT2G39130","Transmembrane amino acid transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:818499]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"105",105,"AT2G19810","105.1","AT2G19810","OZF1","CCCH-type zinc finger family protein [Source:NCBI gene (formerly Entrezgene);Acc:816500]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"106",106,"AT2G31945","106.1","AT2G31945","AT2G31945","transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:817753]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"107",107,"AT2G37540","107.1","AT2G37540","AT2G37540","NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818330]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"108",108,"AT2G36670","108.1","AT2G36670","AT2G36670","Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:818239]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"109",109,"AT2G22190","109.1","AT2G22190","TPPE","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:816753]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"110",110,"AT2G17120","110.1","AT2G17120","LYM2","lysm domain GPI-anchored protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:816217]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"111",111,"AT2G21210","111.1","AT2G21210","AT2G21210","SAUR-like auxin-responsive protein family [Source:NCBI gene (formerly Entrezgene);Acc:816658]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"112",112,"AT2G28550","112.1","AT2G28550","RAP2.7","related to AP2.7 [Source:NCBI gene (formerly Entrezgene);Acc:817403]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"113",113,"AT2G43100","113.1","AT2G43100","IPMI2","isopropylmalate isomerase 2 [Source:NCBI gene (formerly Entrezgene);Acc:818912]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"114",114,"AT4G01010","114.1","AT4G01010","CNGC13","cyclic nucleotide-gated channel 13 [Source:NCBI gene (formerly Entrezgene);Acc:826427]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"115",115,"AT4G12030","115.1","AT4G12030","BAT5","bile acid transporter 5 [Source:NCBI gene (formerly Entrezgene);Acc:826811]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"116",116,"AT4G26670","116.1","AT4G26670","AT4G26670","Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein [Source:NCBI gene (formerly Entrezgene);Acc:828774]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"117",117,"AT4G13770","117.1","AT4G13770","CYP83A1","cytochrome P450, family 83, subfamily A, polypeptide 1 [Source:NCBI gene (formerly Entrezgene);Acc:827011]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"118",118,"AT4G08040","118.1","AT4G08040","ACS11","1-aminocyclopropane-1-carboxylate synthase 11 [Source:NCBI gene (formerly Entrezgene);Acc:826317]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"119",119,"AT4G27520","119.1","AT4G27520","ENODL2","early nodulin-like protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:828861]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"120",120,"AT4G37610","120.1","AT4G37610","BT5","BTB and TAZ domain protein 5 [Source:NCBI gene (formerly Entrezgene);Acc:829915]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"121",121,"AT4G24960","121.1","AT4G24960","HVA22D","HVA22 homologue D [Source:NCBI gene (formerly Entrezgene);Acc:828598]","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
"122",122,"AT4G13040","122.1","AT4G13040","AT4G13040","Integrase-type DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:826918]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"123",123,"AT4G32870","123.1","AT4G32870","AT4G32870","Polyketide cyclase/dehydrase and lipid transport superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:829423]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"124",124,"AT4G26370","124.1","AT4G26370","AT4G26370","antitermination NusB domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:828743]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"125",125,"AT4G34180","125.1","AT4G34180","AT4G34180","Cyclase family protein [Source:NCBI gene (formerly Entrezgene);Acc:829566]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"126",126,"AT4G11300","126.1","AT4G11300","AT4G11300","ROH1, putative (DUF793) [Source:NCBI gene (formerly Entrezgene);Acc:826732]","ARRAYEXPRESS,ENSG,ENTREZGENE,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION,WIKIGENE"
"127",127,"ATCG01230","127.1","ATCG01230","ATCG01230","None","ARRAYEXPRESS,ENSG,KNETMINER_ARA,NASC_GENE_ID_ACC,TAIR_LOCUS,TAIR_TRANSLATION"
