"term_id","term_name","p_value","source","GeneRatio","intersection","Treatment","Timepoint","Direction"
"GO:0019760","glucosinolate metabolic process",8.22688565077414e-17,"GO:BP","13/51","AT1G04580,AT1G16410,AT1G65860,AT1G62560,AT5G07690,AT5G14200,AT5G07700,AT5G23010,AT3G19710,AT3G58990,AT2G43100,AT4G12030,AT4G13770","HopAB1_8h","8h","Down"
"GO:0016143","S-glycoside metabolic process",8.22688565077414e-17,"GO:BP","13/51","AT1G04580,AT1G16410,AT1G65860,AT1G62560,AT5G07690,AT5G14200,AT5G07700,AT5G23010,AT3G19710,AT3G58990,AT2G43100,AT4G12030,AT4G13770","HopAB1_8h","8h","Down"
"GO:1901657","glycosyl compound metabolic process",5.30383350286308e-15,"GO:BP","13/51","AT1G04580,AT1G16410,AT1G65860,AT1G62560,AT5G07690,AT5G14200,AT5G07700,AT5G23010,AT3G19710,AT3G58990,AT2G43100,AT4G12030,AT4G13770","HopAB1_8h","8h","Down"
"GO:0044272","sulfur compound biosynthetic process",7.72632858030623e-14,"GO:BP","13/51","AT1G16410,AT1G65860,AT1G62560,AT5G07690,AT5G14200,AT5G07700,AT5G23010,AT3G19710,AT3G58990,AT3G22740,AT2G43100,AT4G12030,AT4G13770","HopAB1_8h","8h","Down"
"GO:0006790","sulfur compound metabolic process",2.58104841610848e-13,"GO:BP","15/51","AT1G04580,AT1G16410,AT1G65860,AT1G78370,AT1G62560,AT5G07690,AT5G14200,AT5G07700,AT5G23010,AT3G19710,AT3G58990,AT3G22740,AT2G43100,AT4G12030,AT4G13770","HopAB1_8h","8h","Down"
"GO:1901137","carbohydrate derivative biosynthetic process",7.32080368512963e-08,"GO:BP","12/51","AT1G16410,AT1G65860,AT1G62560,AT5G07690,AT5G14200,AT5G07700,AT5G23010,AT3G19710,AT3G58990,AT2G43100,AT4G12030,AT4G13770","HopAB1_8h","8h","Down"
"GO:0043436","oxoacid metabolic process",8.11741754987219e-08,"GO:BP","17/51","AT1G56430,AT1G04580,AT1G16410,AT1G65860,AT1G62560,AT5G04950,AT5G07690,AT5G14200,AT5G07700,AT5G23010,AT3G19710,AT3G58990,AT3G02020,AT3G22740,AT2G43100,AT4G12030,AT4G13770","HopAB1_8h","8h","Down"
"GO:0006082","organic acid metabolic process",8.23612902313284e-08,"GO:BP","17/51","AT1G56430,AT1G04580,AT1G16410,AT1G65860,AT1G62560,AT5G04950,AT5G07690,AT5G14200,AT5G07700,AT5G23010,AT3G19710,AT3G58990,AT3G02020,AT3G22740,AT2G43100,AT4G12030,AT4G13770","HopAB1_8h","8h","Down"
"GO:0009625","response to insect",3.07813089659573e-07,"GO:BP","6/51","AT1G16410,AT5G07690,AT5G07700,AT5G23010,AT5G24770,AT4G13770","HopAB1_8h","8h","Down"
"GO:1901135","carbohydrate derivative metabolic process",1.50422075836144e-06,"GO:BP","13/51","AT1G04580,AT1G16410,AT1G65860,AT1G62560,AT5G07690,AT5G14200,AT5G07700,AT5G23010,AT3G19710,AT3G58990,AT2G43100,AT4G12030,AT4G13770","HopAB1_8h","8h","Down"
"GO:0044281","small molecule metabolic process",3.71495566919356e-05,"GO:BP","17/51","AT1G56430,AT1G04580,AT1G16410,AT1G65860,AT1G62560,AT5G04950,AT5G07690,AT5G14200,AT5G07700,AT5G23010,AT3G19710,AT3G58990,AT3G02020,AT3G22740,AT2G43100,AT4G12030,AT4G13770","HopAB1_8h","8h","Down"
"GO:0006520","amino acid metabolic process",0.000397170218755106,"GO:BP","9/51","AT1G56430,AT5G04950,AT5G14200,AT3G19710,AT3G58990,AT3G03910,AT3G02020,AT3G22740,AT2G43100","HopAB1_8h","8h","Down"
"KEGG:00966","Glucosinolate biosynthesis",6.86797304812269e-10,"KEGG","7/27","AT1G16410,AT5G14200,AT5G23010,AT3G19710,AT3G58990,AT2G43100,AT4G13770","HopAB1_8h","8h","Down"
"KEGG:01210","2-Oxocarboxylic acid metabolism",7.35990776936871e-07,"KEGG","8/27","AT1G16410,AT5G14200,AT5G23010,AT3G19710,AT3G58990,AT3G02020,AT2G43100,AT4G13770","HopAB1_8h","8h","Down"
"KEGG:00290","Valine, leucine and isoleucine biosynthesis",0.00428940106753414,"KEGG","3/27","AT5G14200,AT3G58990,AT2G43100","HopAB1_8h","8h","Down"
"KEGG:01110","Biosynthesis of secondary metabolites",0.0498723284794195,"KEGG","14/27","AT1G56430,AT1G16410,AT5G04950,AT5G14200,AT5G23010,AT3G11430,AT3G19710,AT3G58990,AT3G02020,AT3G22740,AT2G19500,AT2G43100,AT4G19170,AT4G13770","HopAB1_8h","8h","Down"
